ManifestOrdinal,StructuralInstanceID,PairedBaseID,DemandAssignmentID,BaseInstanceID,BaseInstanceFile,StructuralDraw,BatteryLevel,BatteryScale,DemandRegime,UncertaintyLevel,Theta,HouseholdProfiles,AssignmentSeed,DeterministicDataID,LegacyDefaultRepositoryInstanceSeed,ActualRepositoryGeneratorSeed,RepositoryInstanceID,RepositoryInstanceHorizon,RequiredPeriodSupportEnd,MaterializedDataEnd,BasePriceDigest,ExtendedPriceDigest,BasePVReferenceDigest,ExtendedPVReferenceDigest,BaseDemandActivityDigest,DemandActivityDigest,InstancePeriodLengthDelta,ResolvedSMin,ResolvedSMax,ResolvedSI,ResolvedFUnder,ResolvedFBar,Households,AvgDemand,DevDemand,PVScale
1,SI-Drahi_1-d1-HOM-ULO-BLO-2b7217f211,PB-Drahi_1-d1-HOM-ULO-d69028dd90,DA-Drahi_1-HOM-d1-0c238d3a08,Drahi_1,codes/inst/inst2020/Drahi_1.csv,1,LOW_BATTERY,0.5,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,night;night;night;night;night,1984710398,DD-Drahi_1-d1-d3bdb6ae75,442122406,1387209819,5_56,24,44,44,68094ff462759142,7752071f5cf21f1a,83eacc7ebcd15be2,073aca60f96fb8df,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
2,SI-Drahi_1-d1-HOM-ULO-BHI-0e8ef1d852,PB-Drahi_1-d1-HOM-ULO-d69028dd90,DA-Drahi_1-HOM-d1-0c238d3a08,Drahi_1,codes/inst/inst2020/Drahi_1.csv,1,HIGH_BATTERY,2.0,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,night;night;night;night;night,1984710398,DD-Drahi_1-d1-d3bdb6ae75,442122406,1387209819,5_56,24,44,44,68094ff462759142,7752071f5cf21f1a,83eacc7ebcd15be2,073aca60f96fb8df,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
3,SI-Drahi_1-d1-HOM-UHI-BLO-2e8cab1949,PB-Drahi_1-d1-HOM-UHI-79830456b8,DA-Drahi_1-HOM-d1-0c238d3a08,Drahi_1,codes/inst/inst2020/Drahi_1.csv,1,LOW_BATTERY,0.5,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;night;night;night,1984710398,DD-Drahi_1-d1-d3bdb6ae75,497706974,1387209819,5_56,24,44,44,68094ff462759142,7752071f5cf21f1a,83eacc7ebcd15be2,073aca60f96fb8df,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
4,SI-Drahi_1-d1-HOM-UHI-BHI-9dd97ae39a,PB-Drahi_1-d1-HOM-UHI-79830456b8,DA-Drahi_1-HOM-d1-0c238d3a08,Drahi_1,codes/inst/inst2020/Drahi_1.csv,1,HIGH_BATTERY,2.0,HOMOGENEOUS,HIGH_UNCERTAINTY,0.4,night;night;night;night;night,1984710398,DD-Drahi_1-d1-d3bdb6ae75,497706974,1387209819,5_56,24,44,44,68094ff462759142,7752071f5cf21f1a,83eacc7ebcd15be2,073aca60f96fb8df,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
5,SI-Drahi_1-d1-HET-ULO-BLO-a84e7e5a68,PB-Drahi_1-d1-HET-ULO-9e14d1bfb1,DA-Drahi_1-HET-d1-50d6ae2b74,Drahi_1,codes/inst/inst2020/Drahi_1.csv,1,LOW_BATTERY,0.5,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;morning;morning;night;night,186436782,DD-Drahi_1-d1-d3bdb6ae75,442122406,1387209819,5_56,24,44,44,68094ff462759142,7752071f5cf21f1a,83eacc7ebcd15be2,073aca60f96fb8df,d8ae738c922bed6e,d1502498adebc2a7,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
6,SI-Drahi_1-d1-HET-ULO-BHI-19d4dbabf1,PB-Drahi_1-d1-HET-ULO-9e14d1bfb1,DA-Drahi_1-HET-d1-50d6ae2b74,Drahi_1,codes/inst/inst2020/Drahi_1.csv,1,HIGH_BATTERY,2.0,HETEROGENEOUS,LOW_UNCERTAINTY,0.1,midday;morning;morning;night;night,186436782,DD-Drahi_1-d1-d3bdb6ae75,442122406,1387209819,5_56,24,44,44,68094ff462759142,7752071f5cf21f1a,83eacc7ebcd15be2,073aca60f96fb8df,d8ae738c922bed6e,d1502498adebc2a7,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
7,SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,PB-Drahi_1-d1-HET-UHI-ecb4d7be94,DA-Drahi_1-HET-d1-50d6ae2b74,Drahi_1,codes/inst/inst2020/Drahi_1.csv,1,LOW_BATTERY,0.5,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;morning;morning;night;night,186436782,DD-Drahi_1-d1-d3bdb6ae75,497706974,1387209819,5_56,24,44,44,68094ff462759142,7752071f5cf21f1a,83eacc7ebcd15be2,073aca60f96fb8df,d8ae738c922bed6e,d1502498adebc2a7,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
8,SI-Drahi_1-d1-HET-UHI-BHI-3c909a552c,PB-Drahi_1-d1-HET-UHI-ecb4d7be94,DA-Drahi_1-HET-d1-50d6ae2b74,Drahi_1,codes/inst/inst2020/Drahi_1.csv,1,HIGH_BATTERY,2.0,HETEROGENEOUS,HIGH_UNCERTAINTY,0.4,midday;morning;morning;night;night,186436782,DD-Drahi_1-d1-d3bdb6ae75,497706974,1387209819,5_56,24,44,44,68094ff462759142,7752071f5cf21f1a,83eacc7ebcd15be2,073aca60f96fb8df,d8ae738c922bed6e,d1502498adebc2a7,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
9,SI-Drahi_1-d2-HOM-ULO-BLO-18b7e8b8e5,PB-Drahi_1-d2-HOM-ULO-976e82fc38,DA-Drahi_1-HOM-d2-d93748376e,Drahi_1,codes/inst/inst2020/Drahi_1.csv,2,LOW_BATTERY,0.5,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,night;night;night;night;night,1984711345,DD-Drahi_1-d2-3687e300b3,442122406,917309722,5_56,24,44,44,c53d74e6aca0431e,613245b84169f33e,83eacc7ebcd15be2,073aca60f96fb8df,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,31.5,0.2,8.0,8.0,5,100.0,10.0,1.0
10,SI-Drahi_1-d2-HOM-ULO-BHI-e2181f5537,PB-Drahi_1-d2-HOM-ULO-976e82fc38,DA-Drahi_1-HOM-d2-d93748376e,Drahi_1,codes/inst/inst2020/Drahi_1.csv,2,HIGH_BATTERY,2.0,HOMOGENEOUS,LOW_UNCERTAINTY,0.1,night;night;night;night;night,1984711345,DD-Drahi_1-d2-3687e300b3,442122406,917309722,5_56,24,44,44,c53d74e6aca0431e,613245b84169f33e,83eacc7ebcd15be2,073aca60f96fb8df,90580f4f2cef6d28,27ce700234c169a4,1.0,0.2,126.0,0.2,32.0,32.0,5,100.0,10.0,1.0
